Time (s)	Potential (mV)
0	96.3661865015
2	95.3586376514
4	93.2355882889
6	92.8397655264
8	89.9610545263
10	89.3493284388
12	86.4346335512
14	85.7149558011
16	82.5123898135
18	81.5048409635
20	77.9784199884
22	76.2511933884
24	72.7967401883
26	70.5657391632
28	68.0468670381
30	65.384059363
32	62.793219463
34	59.6266373629
36	56.7839102503
38	53.1135537252
40	50.7026332626
42	47.3201478375
44	45.5929212375
46	41.5267419498
48	39.7275475748
50	35.9492393872
52	33.7542222496
54	30.335752937
56	28.1407357994
58	24.4703792743
60	22.8151204493
62	19.6845222367
64	17.7413923116
66	15.2585040741
68	13.963084124
70	11.947986424
72	9.82493706141
74	7.70188769884
76	5.68678999878
78	4.46333782375
80	2.8800467737
82	1.76454626117
84	0.828965186141
86	0.289206873626
88	-0.970229188912
90	-0.862277526408
92	-1.29408417642
94	-0.970229188912
96	-1.76187471393
98	-1.90581026394
100	-2.04974581394
102	-1.29408417642
104	-0.646374201402
106	0.181255211122
108	1.08085239865
110	1.90848181117
112	2.30430457368
114	2.7361112237
116	4.46333782375
118	6.01064498629
120	8.74542043637
122	10.3646953739
124	12.2718414115
126	13.675213024
128	16.1940851491
130	18.2091828492
132	21.1598616242
134	23.0310237743
136	24.8662020369
138	27.1331869494
140	29.112300762
142	32.0629795371
144	35.8053038372
146	38.1082726372
148	41.0229675248
150	42.9301135624
152	45.1251306999
154	47.644002825
156	50.2708266126
158	53.4733926002
160	55.3445547502
162	57.6475235503
164	59.8425406879
166	62.0375578254
168	64.8443010505
170	67.3271892881
172	68.6945770131
174	71.0335297007
176	71.6092719007
178	73.5164179383
180	75.1356928758
182	77.4386616759
184	77.6545650009
186	79.4177754885
188	80.533276001
190	81.2169698635
192	82.332470376
194	82.9082125761
196	84.1316647511
198	84.2396164136
200	84.5274875136
202	84.0596969761
204	85.4270847011
206	83.9157614261
208	84.8153586136
210	83.7718258761
212	84.1316647511
214	82.6563253636
216	82.260502601
218	80.7851632135
220	79.6336788135
222	78.6621138509
224	77.5825972259
226	75.8193867384
228	73.9122407008
230	72.8327240758
232	70.9975458132
234	69.3063031007
236	66.8234148631
238	65.096188263
240	63.225026113
242	61.0659928629
244	59.1948307129
246	57.1437491253
248	54.9127481002
250	52.8616665127
252	50.5946816001
254	48.8314711126
256	46.5285023125
258	43.8656946374
260	41.5987097248
262	39.2597570373
264	36.9927721247
266	34.9416905371
268	32.9265928371
270	31.199366237
272	28.7884457745
274	26.9532675119
276	24.8662020369
278	22.7431526743
280	21.8435554868
282	20.0083772242
284	18.8568928242
286	17.0576984491
288	16.4099884741
290	14.6467779865
292	13.9990680115
294	12.7036480615
296	11.660115324
298	10.0048564989
300	9.82493706141
302	9.4291142989
304	8.81738821138
306	8.06172657385
308	8.27762989886
310	8.67345266137
312	8.63746877387
314	8.20566212386
316	8.20566212386
318	9.17722708639
320	9.17722708639
322	10.0048564989
324	10.5446148114
326	11.6241314365
328	12.163889749
330	12.955535274
332	14.466858549
334	15.2585040741
336	16.4459723616
338	18.1372150742
340	19.4686189117
342	20.8000227492
344	21.8435554868
346	23.9306209618
348	26.6653964119
350	28.2846713495
352	30.479688487
354	32.7106895121
356	34.5818516621
358	36.2011265997
360	38.4681115123
362	40.2673058873
364	42.8581457874
366	44.6213562749
368	46.6724378625
370	48.8314711126
372	50.7026332626
374	52.3938759752
376	53.6533120377
378	55.4525064128
380	57.1437491253
382	59.0508951629
384	61.4258317379
386	62.721251688
388	63.800768313
390	65.5999626881
392	66.8593987506
394	67.9389153756
396	69.3063031007
398	70.7816424882
400	71.3933685757
402	72.2569818757
404	73.4444501633
406	73.9842084758
408	74.1641279133
410	74.0201923633
412	74.5239667883
414	75.0637251008
416	75.2436445383
418	75.0637251008
420	75.5315156383
422	74.7038862258
424	75.0637251008
426	74.5239667883
428	73.9842084758
430	73.1205951758
432	72.2929657632
434	71.7172235632
436	70.3858197257
438	69.3063031007
440	68.1188348131
442	67.4351409506
444	66.7874309756
446	65.456027138
448	64.2685588505
450	63.225026113
452	61.4258317379
454	59.7705729129
456	58.3312174128
458	56.5320230378
460	54.5169253377
462	52.8616665127
464	51.2423915751
466	48.9034388876
468	47.644002825
470	45.8088245625
472	43.9376624124
474	41.9945324874
476	40.8790319748
478	38.6480309498
480	36.9208043497
482	35.3375132997
484	33.7542222496
486	32.1349473121
488	31.343301787
490	29.040332987
492	27.8168808119
494	26.0536703244
496	26.1256380994
498	24.2184920618
500	23.5347981993
502	21.9155232618
504	21.3397810617
506	20.4041999867
508	19.6125544617
510	18.8568928242
512	18.8568928242
514	17.8853278616
516	17.6334406491
518	17.0217145616
520	16.5179401366
522	16.2660529241
524	15.9421979366
526	16.3380206991
528	16.4099884741
530	16.4099884741
532	17.0217145616
534	17.4895050991
536	17.6694245366
538	18.3171345117
540	18.8209089367
542	19.4686189117
544	20.6560871992
546	21.3397810617
548	22.4192976868
550	23.6067659743
552	25.0101375869
554	26.0536703244
556	27.0612191744
558	28.536558562
560	29.6520590745
562	30.839527362
564	31.8830600996
566	33.8261900246
568	35.5534166247
570	36.2371104872
572	38.1082726372
574	39.9074670123
576	41.4547741748
578	42.9301135624
580	44.0456140749
582	45.2330823625
584	47.4640833875
586	49.3352455376
588	50.6306654876
590	52.1779726502
592	53.6533120377
594	54.8407803252
596	55.7403775128
598	56.7119424753
600	57.8994107628
602	59.6266373629
604	60.7781217629
606	61.3898478504
608	62.3254289255
610	63.1890422255
612	63.9087199755
614	64.8443010505
616	65.5999626881
618	66.1397210006
620	66.7874309756
622	66.8953826381
624	66.8234148631
626	67.3991570631
628	67.8669476006
630	68.0468670381
632	68.0108831506
634	68.5866253506
636	68.0108831506
638	67.4351409506
640	67.4351409506
642	66.8593987506
644	66.1397210006
646	65.7798821256
648	64.9882366005
650	64.448478288
652	63.656832763
654	62.649283913
656	62.0375578254
658	61.4258317379
660	60.2383634504
662	59.6266373629
664	58.4391690753
666	57.0717813503
668	55.6684097378
670	54.1930703502
672	52.8616665127
674	51.8541176626
676	51.2423915751
678	50.1268910626
680	48.5795839
682	47.5360511625
684	45.3050501375
686	44.0456140749
688	43.2539685499
690	41.6346936123
692	40.8070641998
694	39.8354992373
696	38.6120470623
698	37.2806432247
700	35.6613682872
702	34.0780772371
704	33.8621739121
706	32.7106895121
708	31.8110923246
710	30.407720712
712	29.9399301745
714	29.616075187
716	29.0043490995
718	28.0687680244
720	27.2411386119
722	26.7373641869
724	26.0536703244
726	25.4059603494
728	24.2544759493
730	24.8302181493
732	24.2544759493
734	24.2184920618
736	23.6427498618
738	23.1389754368
740	23.7147176368
742	23.9306209618
744	24.2184920618
746	24.7582503743
748	25.4419442369
750	25.4419442369
752	26.0536703244
754	26.7373641869
756	27.2411386119
758	27.9248324744
760	28.2846713495
762	30.2278012745
764	30.335752937
766	30.911495137
768	31.5951889995
770	32.6027378496
772	33.2504478246
774	34.0061094621
776	35.4814488497
778	36.2371104872
780	36.9927721247
782	38.5400792873
784	39.7995153498
786	41.0589514123
788	41.8505969374
790	42.9301135624
792	43.7937268624
794	44.9811951499
796	46.4565345375
798	47.2481800625
800	48.3276966875
802	48.9754066626
804	50.5227138251
806	51.7461660001
808	52.9336342877
810	53.5453603752
812	53.7252798127
814	55.4525064128
816	56.0282486128
818	57.4676041128
820	58.4391690753
822	59.0508951629
824	59.9864762379
826	60.3103312254
828	60.8141056504
830	61.3178800754
832	61.3898478504
834	62.0375578254
836	62.3973967005
838	62.649283913
840	62.649283913
842	63.0451066755
844	63.225026113
846	63.1890422255
848	62.3973967005
850	62.4693644755
852	62.1814933755
854	62.0375578254
856	61.4258317379
858	61.4618156254
860	60.8500895379
862	60.2383634504
864	60.2383634504
866	59.0508951629
868	58.5111368503
870	57.7914591003
872	57.2517007878
874	56.8558780253
876	55.4525064128
878	55.4165225253
880	53.8692153627
882	53.0415859502
884	52.3219082002
886	51.2423915751
888	50.5946816001
890	48.9754066626
892	48.219745025
894	47.644002825
896	46.4565345375
898	45.7368567875
900	44.0096301874
902	43.9376624124
904	42.6782263499
906	41.3828063998
908	40.3392736623
910	39.4756603623
912	38.7919664998
914	37.9283531997
916	36.8488365747
918	36.2371104872
920	35.6253843997
922	35.1935777497
924	33.7542222496
926	33.3943833746
928	32.6027378496
930	32.0629795371
932	31.4512534495
934	31.415269562
936	30.6596079245
938	30.0838657245
940	29.544107412
942	29.112300762
944	28.464590787
946	28.464590787
948	28.4286068995
950	28.464590787
952	28.3566391245
954	28.536558562
956	28.2127035744
958	29.112300762
960	29.7240268495
962	30.263785162
964	29.7959946245
966	30.263785162
968	30.335752937
970	31.055430687
972	31.343301787
974	32.0629795371
976	32.6387217371
978	33.3224155996
980	34.4019322246
982	35.0496421997
984	35.4094810747
986	36.5249815872
988	37.4245787747
990	37.9283531997
992	39.1518053748
994	39.2597570373
996	40.4472253248
998	40.8790319748
1000	42.2464196999
1002	43.0020813374
1004	44.0096301874
1006	44.1175818499
1008	44.8012757124
1010	46.13267955
1012	46.99629285
1014	48.219745025
1016	48.3996644625
1018	49.4431972001
1020	50.3427943876
1022	51.8541176626
1024	52.3219082002
1026	53.0056020627
1028	53.5453603752
1030	53.7972475877
1032	54.8047964377
1034	55.7763614003
1036	55.9202969503
1038	56.5320230378
1040	56.1721841628
1042	57.0717813503
1044	57.3236685628
1046	57.6475235503
1048	58.1153140878
1050	58.2592496378
1052	58.4391690753
1054	58.4031851878
1056	58.5831046253
1058	59.0508951629
1060	59.1228629379
1062	59.0508951629
1064	59.2667984879
1066	59.3747501504
1068	59.3387662629
1070	58.5831046253
1072	58.5831046253
1074	58.4391690753
1076	58.4031851878
1078	57.5755557753
1080	57.5755557753
1082	56.8558780253
1084	56.6399747003
1086	55.9922647253
1088	55.5244741878
1090	54.9127481002
1092	54.5888931127
1094	53.4733926002
1096	52.3938759752
1098	51.2064076876
1100	50.1268910626
1102	50.0189394001
1104	49.2632777626
1106	48.6515516751
1108	47.5360511625
1110	46.7444056375
1112	46.4565345375
1114	45.916776225
1116	45.0531629249
1118	44.0096301874
1120	43.1460168874
1122	42.8581457874
1124	42.6062585749
1126	41.4547741748
1128	40.4472253248
1130	39.4756603623
1132	39.2597570373
1134	38.7199987248
1136	38.1082726372
1138	37.4605626622
1140	37.3526109997
1142	36.3810460372
1144	36.1291588247
1146	35.7333360622
1148	34.9416905371
1150	35.0136583121
1152	34.0780772371
1154	34.2579966746
1156	34.3299644496
1158	34.7257872121
1160	33.8261900246
1162	33.6102866996
1164	33.7542222496
1166	33.4663511496
1168	33.2144639371
1170	33.8621739121
1172	33.9341416871
1174	33.8621739121
1176	34.0780772371
1178	34.3299644496
1180	34.4379161121
1182	35.1935777497
1184	35.0496421997
1186	35.6613682872
1188	36.8128526872
1190	37.4605626622
1192	37.5325304372
1194	38.0363048622
1196	39.0078698248
1198	38.6480309498
1200	39.0798375998
1202	39.8354992373
1204	40.2673058873
1206	40.8790319748
1208	41.8505969374
1210	42.5342907999
1212	42.8581457874
1214	44.0456140749
1216	44.2615173999
1218	44.9811951499
1220	45.2330823625
1222	45.84480845
1224	47.3921156125
1226	47.85990615
1228	48.3276966875
1230	48.8314711126
1232	49.5871327501
1234	50.1988588376
1236	50.6306654876
1238	51.3143593501
1240	52.1419887627
1242	52.3938759752
1244	52.5018276377
1246	52.8616665127
1248	53.6173281502
1250	53.9771670252
1252	54.8407803252
1254	55.3445547502
1256	55.7403775128
1258	56.0642325003
1260	55.9922647253
1262	56.3880874878
1264	56.4600552628
1266	56.3880874878
1268	56.6039908128
1270	56.6039908128
1272	56.6399747003
1274	57.1437491253
1276	56.6399747003
1278	56.7119424753
1280	56.5320230378
1282	56.6399747003
1284	56.0282486128
1286	56.3880874878
1288	55.9922647253
1290	56.1721841628
1292	54.9847158752
1294	54.7328286627
1296	54.4449575627
1298	54.3010220127
1300	54.1930703502
1302	53.3294570502
1304	53.0415859502
1306	51.6741982251
1308	51.3863271251
1310	50.5227138251
1312	50.0189394001
1314	48.8314711126
1316	48.3276966875
1318	48.2557289125
1320	48.14777725
1322	47.0322767375
1324	46.2766151
1326	45.7368567875
1328	45.4489856875
1330	45.6648890125
1332	44.2615173999
1334	44.1175818499
1336	43.5778235374
1338	42.8581457874
1340	41.6346936123
1342	41.7066613873
1344	40.5911608748
1346	40.4112414373
1348	40.4472253248
1350	40.4112414373
1352	39.8354992373
1354	39.7995153498
1356	39.3317248123
1358	38.6480309498
1360	38.5400792873
1362	38.7199987248
1364	38.5400792873
1366	38.1082726372
1368	37.4605626622
1370	36.8128526872
1372	36.7408849122
1374	36.2011265997
1376	36.9208043497
1378	36.2011265997
1380	36.8128526872
1382	36.2011265997
1384	36.8128526872
1386	36.9208043497
1388	37.2086754497
1390	37.0647398997
1392	37.6764659872
1394	38.0003209747
1396	37.4605626622
1398	38.4681115123
1400	38.0003209747
1402	38.7199987248
1404	38.3961437372
1406	39.3317248123
1408	39.7995153498
1410	40.4472253248
1412	39.5476281373
1414	40.3392736623
1416	40.3392736623
1418	41.2028869623
1420	41.3468225123
1422	42.2464196999
1424	42.2104358124
1426	43.0020813374
1428	44.1175818499
1430	44.0456140749
1432	45.2330823625
1434	45.0531629249
1436	45.8088245625
1438	45.916776225
1440	46.8523573
1442	46.6004700875
1444	47.85990615
1446	47.6080189375
1448	48.9034388876
1450	49.1193422126
1452	49.8750038501
1454	49.5871327501
1456	50.0549232876
1458	50.0549232876
1460	50.7746010376
1462	51.6741982251
1464	52.4298598627
1466	52.7177309627
1468	53.0415859502
1470	53.6173281502
1472	53.1855215002
1474	53.0415859502
1476	53.6533120377
1478	53.7972475877
1480	53.9411831377
1482	54.5169253377
1484	54.0491348002
1486	54.2290542377
1488	54.2650381252
1490	54.2290542377
1492	54.0491348002
1494	54.0491348002
1496	53.5453603752
1498	53.6533120377
1500	53.7252798127
1502	53.6533120377
1504	53.6173281502
1506	53.0056020627
1508	52.4298598627
1510	51.8541176626
1512	51.8541176626
1514	50.9905043626
1516	51.2423915751
1518	51.0624721376
1520	51.3143593501
1522	50.6306654876
1524	49.9469716251
1526	49.4072133126
1528	48.7954872251
1530	48.219745025
1532	48.0038417
1534	47.644002825
1536	46.99629285
1538	46.3845667625
1540	46.348582875
1542	45.84480845
1544	46.060711775
1546	45.0531629249
1548	44.5853723874
1550	44.3334851749
1552	43.9376624124
1554	43.3979040999
1556	43.3979040999
1558	42.6062585749
1560	42.2104358124
1562	41.6346936123
1564	41.6346936123
1566	41.2748547373
1568	41.0589514123
1570	40.9509997498
1572	40.4472253248
1574	40.3392736623
1576	39.7995153498
1578	39.8714831248
1580	39.9074670123
1582	39.7995153498
1584	39.4036925873
1586	39.7995153498
1588	39.7995153498
1590	39.5836120248
1592	38.9359020498
1594	39.5836120248
1596	39.9794347873
1598	39.7995153498
1600	39.7275475748
1602	39.7275475748
1604	39.7995153498
1606	39.8714831248
1608	39.8354992373
1610	39.9074670123
1612	39.4756603623
1614	39.8354992373
1616	40.4472253248
1618	41.0229675248
1620	41.1309191873
1622	41.7066613873
1624	41.9945324874
1626	42.3183874749
1628	42.8581457874
1630	43.1820007749
1632	44.0096301874
1634	43.2539685499
1636	44.4054529499
1638	44.6573401624
1640	45.3050501375
1642	45.5929212375
1644	45.7368567875
1646	45.8088245625
1648	46.5285023125
1650	46.6004700875
1652	47.0322767375
1654	47.0322767375
1656	47.787938375
1658	47.85990615
1660	48.219745025
1662	48.9034388876
1664	48.9754066626
1666	49.4431972001
1668	49.4431972001
1670	49.9469716251
1672	49.4431972001
1674	50.4507460501
1676	50.6306654876
1678	50.9185365876
1680	51.2423915751
1682	51.2423915751
1684	51.3143593501
1686	51.2423915751
1688	51.3143593501
1690	51.6741982251
1692	51.8181337751
1694	52.4298598627
1696	52.2499404252
1698	51.8181337751
1700	51.5302626751
1702	51.6022304501
1704	51.8541176626
1706	51.6022304501
1708	51.8541176626
1710	51.9260854376
1712	51.2423915751
1714	51.8541176626
1716	51.8541176626
1718	51.6741982251
1720	51.3143593501
1722	50.7026332626
1724	50.5227138251
1726	50.6306654876
1728	50.5227138251
1730	50.0549232876
1732	49.5151649751
1734	49.4431972001
1736	49.5871327501
1738	49.4072133126
1740	48.8314711126
1742	48.2557289125
1744	48.2557289125
1746	48.0038417
1748	47.0322767375
1750	46.99629285
1752	47.068260625
1754	46.5285023125
1756	45.988744
1758	46.5285023125
1760	45.7368567875
1762	45.0531629249
1764	44.8012757124
1766	44.6573401624
1768	44.1175818499
1770	44.1175818499
1772	43.5058557624
1774	43.3979040999
1776	42.8581457874
1778	42.8581457874
1780	42.6062585749
1782	42.3183874749
1784	42.2464196999
1786	42.2104358124
1788	42.6062585749
1790	41.3828063998
1792	41.4547741748
1794	41.2028869623
1796	40.8070641998
1798	40.8790319748
1800	41.2748547373
1802	41.1309191873
1804	40.5911608748
1806	40.4472253248
1808	41.3828063998
1810	41.0589514123
1812	41.0229675248
1814	41.1309191873
1816	41.0589514123
1818	41.0229675248
1820	41.0589514123
1822	41.5267419498
1824	41.7786291623
1826	41.7066613873
1828	41.6706774998
1830	41.7066613873
1832	41.5987097248
1834	42.2464196999
1836	42.3183874749
1838	42.3183874749
1840	42.8581457874
1842	43.0740491124
1844	43.3259363249
1846	43.7217590874
1848	43.9376624124
1850	44.1175818499
1852	44.6213562749
1854	44.6213562749
1856	44.6213562749
1858	45.1251306999
1860	45.84480845
1862	45.6648890125
1864	46.4565345375
1866	46.6004700875
1868	46.4565345375
1870	46.99629285
1872	47.5360511625
1874	47.0322767375
1876	47.2481800625
1878	47.644002825
1880	48.2557289125
1882	48.219745025
1884	48.8314711126
1886	48.7235194501
1888	49.1913099876
1890	48.8314711126
1892	49.9469716251
1894	49.4431972001
1896	49.8750038501
1898	50.0549232876
1900	50.0189394001
1902	50.0189394001
1904	49.9469716251
1906	49.1913099876
1908	50.0549232876
1910	49.9469716251
1912	49.8030360751
1914	50.0549232876
1916	49.8030360751
1918	50.0549232876
1920	49.6591005251
1922	49.9469716251
1924	50.1268910626
1926	49.8750038501
1928	49.4431972001
1930	49.5151649751
1932	48.9754066626
1934	50.0549232876
1936	49.4431972001
1938	48.8314711126
1940	49.4431972001
1942	49.1913099876
1944	48.9754066626
1946	48.3276966875
1948	48.3276966875
1950	48.219745025
1952	47.931873925
1954	47.1042445125
1956	47.1762122875
1958	47.6080189375
1960	46.99629285
1962	46.99629285
1964	46.924325075
1966	46.348582875
1968	45.8088245625
1970	46.13267955
1972	45.84480845
1974	45.84480845
1976	45.2330823625
1978	44.8732434874
1980	44.4774207249
1982	45.0531629249
1984	44.0456140749
1986	44.0456140749
1988	44.3334851749
1990	44.0096301874
1992	42.8221618999
1994	42.9301135624
1996	43.0020813374
1998	42.8581457874
2000	43.5058557624
2002	43.2539685499
2004	43.3259363249
2006	43.3979040999
2008	42.7501941249
2010	42.8221618999
2012	42.8581457874
2014	42.2464196999
2016	42.6062585749
2018	42.7501941249
2020	42.4623230249
2022	42.8581457874
2024	42.5342907999
2026	42.8221618999
2028	42.8221618999
2030	42.0665002624
2032	42.1384680374
2034	42.1384680374
2036	43.4338879874
2038	43.6497913124
2040	43.1820007749
2042	43.5058557624
2044	43.0740491124
2046	43.4338879874
2048	43.4338879874
2050	44.0456140749
2052	44.6213562749
2054	44.8732434874
2056	45.1251306999
2058	45.3050501375
2060	45.5929212375
2062	45.8088245625
2064	45.916776225
2066	45.916776225
2068	46.060711775
2070	46.348582875
2072	46.924325075
2074	46.7444056375
2076	46.4565345375
2078	46.4565345375
2080	46.4565345375
2082	45.988744
2084	46.8523573
2086	46.5285023125
2088	47.3201478375
2090	46.8523573
2092	46.924325075
2094	47.5360511625
2096	47.5360511625
2098	47.2481800625
2100	48.219745025
2102	48.2557289125
2104	48.3996644625
2106	48.2557289125
2108	48.4716322375
2110	48.7235194501
2112	48.7954872251
2114	49.8030360751
2116	50.0189394001
2118	50.0189394001
2120	49.9469716251
2122	50.6306654876
2124	50.1268910626
2126	50.3787782751
2128	49.9469716251
2130	49.2632777626
2132	49.4072133126
2134	49.4431972001
2136	49.5151649751
2138	49.5151649751
2140	49.6591005251
2142	49.3352455376
2144	49.1913099876
2146	50.0549232876
2148	49.5871327501
2150	49.5871327501
2152	49.4072133126
2154	49.5151649751
2156	49.1913099876
2158	49.4431972001
2160	48.7954872251
2162	48.5436000125
2164	48.3276966875
2166	47.7159706
2168	47.4640833875
2170	47.068260625
2172	46.924325075
2174	46.4565345375
2176	46.348582875
2178	46.2766151
2180	45.916776225
2182	45.8088245625
2184	45.2330823625
2186	45.5929212375
2188	45.7368567875
2190	45.2330823625
2192	45.2330823625
2194	45.1970984749
2196	45.84480845
2198	44.6573401624
2200	44.6573401624
2202	44.6213562749
2204	44.6573401624
2206	44.6573401624
2208	44.0456140749
2210	44.1175818499
2212	43.4338879874
2214	44.1175818499
2216	44.0096301874
2218	44.2615173999
2220	43.5778235374
2222	43.3259363249
2224	43.6497913124
2226	44.0096301874
2228	43.4338879874
2230	43.5778235374
2232	42.8581457874
2234	43.3979040999
2236	43.3259363249
2238	43.3979040999
2240	42.8581457874
2242	42.8581457874
2244	43.4338879874
2246	43.2539685499
2248	42.8581457874
2250	42.8581457874
2252	43.4338879874
2254	43.5058557624
2256	44.1895496249
2258	43.7217590874
2260	44.0096301874
2262	44.0456140749
2264	44.3334851749
2266	44.0456140749
2268	44.6573401624
2270	44.6573401624
2272	44.6573401624
2274	44.6213562749
2276	45.0531629249
2278	45.2330823625
2280	45.3050501375
2282	45.4489856875
2284	45.1251306999
2286	45.2330823625
2288	45.6648890125
2290	45.84480845
2292	45.988744
2294	46.3125989875
2296	46.5285023125
2298	46.4565345375
2300	47.0322767375
2302	47.4640833875
2304	47.6080189375
2306	47.644002825
2308	46.99629285
2310	47.4640833875
2312	47.6080189375
2314	48.0038417
2316	47.4640833875
2318	48.2557289125
2320	48.5436000125
2322	48.3996644625
