Time (s)	Potential (mV)
0	-705.498762572
2	-705.426794797
4	-707.297956947
6	-705.894585335
8	-707.477876385
10	-705.67868201
12	-707.297956947
14	-705.67868201
16	-707.765747485
18	-705.426794797
20	-707.54984416
22	-705.53474646
24	-708.26952191
26	-706.002536997
28	-708.55739301
30	-706.68623086
32	-707.873699147
34	-707.69377971
36	-708.41345746
38	-708.593376897
40	-708.809280222
42	-708.665344672
44	-708.41345746
46	-709.025183547
48	-709.492974085
50	-711.220200685
52	-711.43610401
54	-712.623572297
56	-713.091362835
58	-715.214412197
60	-715.142444422
62	-718.129107085
64	-718.560913735
66	-721.259705298
68	-722.591109135
70	-725.54178791
72	-727.017127298
74	-729.787886635
76	-732.126839323
78	-734.069969248
80	-737.308519123
82	-739.107713498
84	-742.670118361
86	-744.865135498
88	-748.463524248
90	-749.579024761
92	-752.781590749
94	-754.976607886
96	-758.251141649
98	-760.086319911
100	-763.972579761
102	-765.303983599
104	-769.118275674
106	-770.989437824
108	-773.976100487
110	-776.566940387
112	-779.373683612
114	-780.992958549
116	-783.151991799
118	-784.771266737
120	-786.822348325
122	-789.377204337
124	-790.49270485
126	-793.2274803
128	-793.911174162
130	-795.638400762
132	-796.034223525
134	-797.509562912
136	-797.617514575
138	-798.229240662
140	-798.157272887
142	-798.013337337
144	-798.373176212
146	-798.085305112
148	-798.085305112
150	-798.445143987
152	-798.013337337
154	-798.085305112
156	-798.229240662
158	-793.695270837
160	-796.1061913
162	-797.365627362
164	-798.085305112
166	-796.502014062
168	-789.557123775
170	-788.513591037
172	-790.024914312
174	-789.34122045
176	-789.017365462
178	-784.699298962
180	-781.496732974
182	-775.307504324
184	-776.854811487
186	-775.055617112
188	-777.250634249
190	-772.320841662
192	-769.586066212
194	-762.857079249
196	-761.165836536
198	-758.790899961
200	-760.122303799
202	-758.251141649
204	-754.832672336
206	-750.118783073
208	-745.188990486
210	-744.793167723
212	-745.332926036
214	-745.117022711
216	-739.575504036
218	-736.408921936
220	-731.659048785
222	-732.01888766
224	-731.335193798
226	-732.918484848
228	-729.679934973
230	-727.808772823
232	-722.591109135
234	-721.07978586
236	-720.827898648
238	-722.411189698
240	-722.735044685
242	-721.331673073
244	-719.280591485
246	-716.47384826
248	-718.093123198
250	-720.36010811
252	-720.396091998
254	-718.524929848
256	-717.409429335
258	-715.502283297
260	-717.085574348
262	-718.48894596
264	-721.691511948
266	-721.07978586
268	-722.339221923
270	-720.540027548
272	-721.331673073
274	-722.878980235
276	-727.484917835
278	-728.456482798
280	-730.00378996
282	-729.535999423
284	-729.787886635
286	-732.666597635
288	-736.408921936
290	-738.388035748
292	-740.331165673
294	-740.798956211
296	-740.906907873
298	-744.469312736
300	-747.707862611
302	-751.846009674
304	-752.709622974
306	-755.372430649
308	-754.976607886
310	-757.783351111
312	-760.050336024
314	-764.836193061
316	-766.383500224
318	-768.326630149
320	-768.830404574
322	-769.765985649
324	-772.500761099
326	-776.171117624
328	-777.970311999
330	-778.438102537
332	-779.517619162
334	-780.021393587
336	-782.576249599
338	-784.44741175
340	-786.966283875
342	-786.8943161
344	-788.225719937
346	-787.110219425
348	-787.829897175
350	-788.693510475
352	-790.744592062
354	-791.428285925
356	-790.960495387
358	-790.312785412
360	-789.161301012
362	-789.413188225
364	-790.708608175
366	-790.960495387
368	-790.960495387
370	-789.089333237
372	-787.110219425
374	-787.578009962
376	-786.75038055
378	-786.75038055
380	-785.850783362
382	-784.555363412
384	-781.964523512
386	-780.381232462
388	-779.121796399
390	-778.258183099
392	-777.178666474
394	-776.027182074
396	-772.572728874
398	-769.765985649
400	-768.434581812
402	-767.930807387
404	-766.635387436
406	-764.368402524
408	-761.849530399
410	-758.970819399
412	-757.063673361
414	-756.308011724
416	-755.516366199
418	-753.501268499
420	-751.846009674
422	-748.463524248
424	-746.772281536
426	-744.865135498
428	-744.073489973
430	-742.454215036
432	-740.798956211
434	-738.783858511
436	-736.840728586
438	-734.861614773
440	-734.609727561
442	-734.465792011
444	-733.206355948
446	-730.72346771
448	-730.183709398
450	-729.14017666
452	-728.672386123
454	-728.672386123
456	-728.13262781
458	-727.26901451
460	-726.40540121
462	-726.657288423
464	-726.477368985
466	-727.089095073
468	-727.26901451
470	-727.628853385
472	-726.333433435
474	-726.26146566
476	-726.585320648
478	-727.952708373
480	-729.535999423
482	-730.399612723
484	-730.86740326
486	-731.335193798
488	-732.414710423
490	-734.141937023
492	-735.941131398
494	-736.588841373
496	-738.316067973
498	-738.711890736
500	-740.331165673
502	-741.122811198
504	-743.785618873
506	-745.188990486
508	-747.240072073
510	-748.571475911
512	-749.579024761
514	-751.162315811
516	-752.709622974
518	-754.832672336
520	-756.703834486
522	-758.574996636
524	-759.582545486
526	-761.165836536
528	-763.036998686
530	-764.728241399
532	-766.239564674
534	-768.434581812
536	-768.650485137
538	-770.053856749
540	-770.701566724
542	-772.500761099
544	-774.048068262
546	-775.703327087
548	-776.027182074
550	-776.854811487
552	-777.970311999
554	-778.761957524
556	-780.453200237
558	-780.777055224
560	-780.561151899
562	-780.705087449
564	-781.100910212
566	-782.036491287
568	-782.576249599
570	-782.648217374
572	-782.756169037
574	-782.252394612
576	-782.108459062
578	-781.316813537
580	-781.964523512
582	-781.640668524
584	-781.244845762
586	-780.165329137
588	-779.517619162
590	-778.294166987
592	-777.898344224
594	-776.782843712
596	-775.883246524
598	-774.515858799
600	-773.184454962
602	-772.176906112
604	-771.241325037
606	-770.701566724
608	-769.298195112
610	-768.110726824
612	-766.311532449
614	-765.303983599
616	-763.001014799
618	-762.173385386
620	-761.129852649
622	-760.122303799
624	-758.107206099
626	-756.308011724
628	-754.652752899
630	-753.861107374
632	-752.637655199
634	-750.910428599
636	-749.579024761
638	-748.067701486
640	-746.844249311
642	-745.584813248
644	-744.793167723
646	-743.209876673
648	-742.130360048
650	-740.906907873
652	-739.971326798
654	-739.071729611
656	-738.460003523
658	-738.064180761
660	-737.200567461
662	-736.372938048
664	-735.149485873
666	-734.681695336
668	-734.285872573
670	-733.998001473
672	-734.141937023
674	-734.213904798
676	-733.674146486
678	-734.141937023
680	-733.854065923
682	-733.746114261
684	-734.609727561
686	-734.753663111
688	-733.746114261
690	-734.897598661
692	-734.825630886
694	-735.545308636
696	-736.013099173
698	-736.516873598
700	-737.272535236
702	-738.064180761
704	-740.043294573
706	-740.439117336
708	-742.094376161
710	-743.065941123
712	-744.397344961
714	-744.937103273
716	-745.512845473
718	-747.132120411
720	-748.535492023
722	-749.902879748
724	-750.982396374
726	-751.989945224
728	-753.249381286
730	-754.508817349
732	-755.516366199
734	-757.243592799
736	-758.431061086
738	-759.258690499
740	-761.201820424
742	-762.389288711
744	-763.792660324
746	-764.188483086
748	-765.771774136
750	-766.671371324
752	-767.786871837
754	-768.758436799
756	-769.694017874
758	-770.701566724
760	-771.313292812
762	-771.996986674
764	-772.500761099
766	-773.364374399
768	-774.156019924
770	-774.371923249
772	-775.595375424
774	-775.847262637
776	-775.451439874
778	-776.027182074
780	-776.243085399
782	-776.351037062
784	-776.890795374
786	-776.351037062
788	-776.926779262
790	-776.099149849
792	-776.099149849
794	-774.911681562
796	-775.523407649
798	-775.451439874
800	-774.911681562
802	-773.832164937
804	-773.184454962
806	-772.176906112
808	-771.925018899
810	-770.845502274
812	-770.269760074
814	-769.118275674
